source_id,citation,source_type,population,n,field_date,intervention,control,outcome_wording_scale,effect_estimate,uncertainty,moderator_results,relevance,limitations,estimate_status,url
ASHOKKUMAR2026_PRIMARY,"Ashokkumar et al. (2026), Nature",external validation archive,"70 preregistered nationally representative U.S. survey experiments",119330,"experiments 2016-2022","text-based survey interventions; up to 12 arms and first 3 outcomes","study-specific reference condition","effects harmonized to percentage points of scale range","predicted versus observed r=0.85; calibration slope human-on-LLM=0.56; RMSE=11.09 pp","r 95% CI [0.81,0.88]; adjusted r=0.92 [0.89,0.94]; adjusted RMSE=10.59 pp","subgroup predictive r reported as 0.90 White, 0.86 Black, 0.90 male, 0.90 female, 0.87 Republican, 0.85 Democrat; original interactions were uncommon","validates individual simulation for U.S. text survey ATE rank prediction and warns magnitude inflation","different topics/outcomes; GPT-4 implementation; reference arm varied; forecasts systematically too large","published estimate","https://doi.org/10.1038/s41586-026-10742-x"
ASHOKKUMAR2026_NOVEL,"Ashokkumar et al. (2026), Nature",external validation subset,"30 U.S. survey experiments unpublished by GPT-4 cutoff",,"unpublished before September 2021","same simulation procedure","study-specific","percentage points of scale range","r=0.90; calibration slope=0.60; adjusted RMSE=10.22 pp","r 95% CI [0.86,0.93]; adjusted r=0.95 [0.92,0.96]",,"supports more credible out-of-training validation","proprietary training data cannot be audited completely","published estimate","https://doi.org/10.1038/s41586-026-10742-x"
ASHOKKUMAR2026_MEGA,"Ashokkumar et al. (2026), Nature",external megastudy archive,"15 survey/field megastudies",4862362,"varied","606 socially beneficial treatment effects","clear within-study controls","study-specific; rank correlations meta-analyzed","overall r=0.39 and calibration slope=0.34; survey megastudies r=0.43; text treatments r=0.45","overall r 95% CI [0.27,0.52], adjusted r=0.48 [0.36,0.60]; survey r [0.28,0.58]; text r [0.31,0.59]",,"closest high-level expectation for benchmark pooled rank performance","RMSE not comparable across original scales; includes field/nontext studies","published estimate","https://doi.org/10.1038/s41586-026-10742-x"
LIJI2026,"Li & Ji (2026), arXiv:2604.02458v3",silicon validation,"62-country climate megastudy plus replications in 12 and 27 countries",80293,"paper version 2026-07-27","three LLMs simulate realized climate interventions","human study controls","belief and policy 0-100; action 0-8 rescaled 0-100","LLM response MAE 24.3-26.1 pp but ATE absolute error 8.7-9.4 pp; supervised baselines ATE error 4.3-4.4 pp",,"realism-ATE accuracy rank relation near zero; divergence larger for behavior","prohibits selecting a Tier 1 method on marginal realism alone","cross-national; tested smaller/older models; not this benchmark","published calculation","https://arxiv.org/abs/2604.02458"
CUMMINS2026,"Cummins (2026), arXiv:2509.13397v4",specification-curve study,"human benchmark datasets and silicon configurations",,"paper version 2026","252 configurations in Study 1; prompt/model/demographic/sampling variations","human data","participant ranks, distributions, and cross-scale relations","configuration-dependent participant-rank rho ranged -0.24 to 0.40 and -0.29 to 0.22; cross-scale r estimates ranged -0.40 to 0.78 against human r=0.26","human r 95% CI [0.05,0.45]",,"requires prompt and aggregation choices to be frozen externally","constructs are not climate-treatment effects; specification results do not name a universally best configuration","published estimate","https://arxiv.org/abs/2509.13397"
BISBEE2024,"Bisbee et al. (2024), Political Analysis",synthetic survey validation,"2016-2020 ANES respondent profiles",,"LLM runs April and July 2023","ChatGPT personas answered 11 feeling thermometers","matched ANES human responses","0-100 feeling thermometers","48% of regression coefficients differed significantly from ANES counterparts; among those differences, 32% reversed sign",,"synthetic variance compressed; outputs sensitive to minor prompts and a three-month model update","strong warning against trusting Tier 1 subgroup realism or adding post-hoc noise","not causal-treatment validation; GPT-3.5-era models","published estimate","https://doi.org/10.1017/pan.2024.5"
RODE2021,"Rode et al. (2021), Journal of Environmental Psychology",meta-analysis,"U.S. experimental climate-attitude studies",76033,"search through 2020","positive climate communication interventions","no information, unrelated task, or other controls","belief, concern, worry, and policy attitudes; standardized","Hedges g=0.08; consensus-only g=0.09","overall 95% CI [0.05,0.10], 95% prediction interval [-0.04,0.19]; consensus CI [0.05,0.13]","intervention type and political affiliation were not significant moderators; policy effects smaller than belief; 10 percentage-point higher female share associated with g +0.03","empirical small-effect prior; permits null/negative cells and proximal-distal ordering","396 dependent effects from 76 experiments; wording/scales/control types vary","published estimate","https://doi.org/10.1016/j.jenvp.2021.101623"
VLASCEANU2024_BELIEF,"Vlasceanu et al. (2024), Science Advances",global megastudy,"63 countries",59440,"data collection 2022-2023","11 expert-crowdsourced interventions","common no-intervention control","four-item climate belief","largest belief gain 2.3% for decreasing psychological distance",,"effects largely limited to non-skeptics and varied by prebelief and country","prior for benchmark belief and concern outcomes","global, not only U.S.; intervention wording differs; percentage is reported study metric","published estimate","https://doi.org/10.1126/sciadv.adj5778"
VLASCEANU2024_POLICY,"Vlasceanu et al. (2024), Science Advances",global megastudy,"63 countries",59440,"data collection 2022-2023","letter to a future-generation member","common no-intervention control","nine-item climate-policy support","largest policy gain 2.6%",,"effects varied by initial climate belief and country","prior for general/specific policy support","global transportability; no filler control","published estimate","https://doi.org/10.1126/sciadv.adj5778"
VLASCEANU2024_SHARING,"Vlasceanu et al. (2024), Science Advances",global megastudy,"63 countries",59440,"data collection 2022-2023","negative-emotion induction","common no-intervention control","intention to share climate information","largest sharing gain 12.1%",,"heterogeneous by initial belief","upper-bound analogue for low-cost behavioral intention","not a donation/signup; self-report intention","published estimate","https://doi.org/10.1126/sciadv.adj5778"
