condition,outcome,outcome_distance,source_ids,evidence_strength,qualitative_direction_only,transport_notes,target_effect_present
Corporate reliance,trust_multidimensional,proximal,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;ASHOKKUMAR2026_MEGA;RODE2021,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,trust_post,proximal,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;ASHOKKUMAR2026_MEGA;RODE2021,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,distrust_post,proximal,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;ASHOKKUMAR2026_MEGA;RODE2021,low,"usually nonpositive, but backfire/null allowed","corporate accountability and messenger evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,funding_perceptions,proximal,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;ASHOKKUMAR2026_MEGA;RODE2021,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,policy_role_mean,intermediate,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;RODE2021;VLASCEANU2024_BELIEF,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,inst_trust_mean,intermediate,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;RODE2021;VLASCEANU2024_BELIEF,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,belief_post,intermediate,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;RODE2021;VLASCEANU2024_BELIEF,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,concern_mean,intermediate,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;RODE2021;VLASCEANU2024_BELIEF,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,policy_general,distal,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;VLASCEANU2024_POLICY;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,policy_specific_mean,distal,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;VLASCEANU2024_POLICY;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,behavior_mean,distal,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;VLASCEANU2024_POLICY;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"corporate accountability and messenger evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,donation_ams,behavioral,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"corporate accountability and messenger evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Corporate reliance,newsletter_signup,behavioral,AMAZEEN2025;GOLDBERG2021;VOELKEL2026;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"corporate accountability and messenger evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
